show_id,type,title,director,country,date_added,release_year,rating,listed_in,duration_min,seasons_count,year_added,month_added
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,Documentaries,90,0,2021,September
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",0,1,2021,September
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",0,1,2021,September
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,"Children & Family Movies, Comedies",91,0,2021,September
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,"Dramas, Independent Movies, International Movies",125,0,2021,September
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,"British TV Shows, Reality TV",0,9,2021,September
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,"Comedies, Dramas",104,0,2021,September
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",87,0,2021,May
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,"Dramas, International Movies",127,0,2021,September
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,"Children & Family Movies, Music & Musicals",76,0,2021,May
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,"Children & Family Movies, Comedies",76,0,2021,May
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,"Children & Family Movies, Comedies",71,0,2021,May
s852,Movie,99 Songs (Tamil),Unknown,Pakistan,2021-05-21,2021,TV-14,"Dramas, International Movies, Music & Musicals",131,0,2021,May
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,Movies,39,0,2021,July
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,Movies,36,0,2021,June
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,Movies,34,0,2021,June
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,Comedies,35,0,2021,May
s4,TV Show,Jailbirds New Orleans,Unknown,Pakistan,2021-09-24,2021,TV-MA,"Docuseries, Reality TV",0,1,2021,September
s15,TV Show,Crime Stories: India Detectives,Unknown,Pakistan,2021-09-22,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",0,1,2021,September
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,TV-Y,Children & Family Movies,46,0,2019,November
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,Kids' TV,0,1,2018,June
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,Kids' TV,0,1,2018,June
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,Kids' TV,0,1,2018,May
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Unknown,2021-09-24,2021,PG,Children & Family Movies,91,0,2021,September
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Unknown,2021-09-23,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",0,1,2021,September
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Unknown,2021-09-22,2020,TV-MA,"Documentaries, International Movies",67,0,2021,September
s7930,Movie,Samudri Lootere,Anirban Majumder,Unknown,2019-06-18,2018,TV-Y,Children & Family Movies,65,0,2019,June
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",0,1,2021,September
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,Children & Family Movies,61,0,2021,September
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,"Comedies, International Movies, Romantic Movies",166,0,2021,September
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,Comedies,103,0,2021,September
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",97,0,2021,September
s30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,Thrillers,106,0,2021,September
s20,TV Show,Jaguar,Unknown,Pakistan,2021-09-22,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",0,1,2021,September
s32,TV Show,Chicago Party Aunt,Unknown,Pakistan,2021-09-17,2021,TV-MA,TV Comedies,0,1,2021,September
s34,TV Show,Squid Game,Unknown,Pakistan,2021-09-17,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",0,1,2021,September
s35,TV Show,Tayo and Little Wizards,Unknown,Pakistan,2021-09-17,2020,TV-Y7,Kids' TV,0,1,2021,September
